City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Sao Filipe,CV,2021-11-09 12:04:15,14.8961,-24.4956,77.36,73,100,5.79
192,Mount Isa,AU,2021-11-09 12:00:54,-20.7333,139.5,82.17,57,78,4.61
193,Areosa,PT,2021-11-09 12:04:15,41.7178,-8.8571,69.33,64,3,5.1
194,Kavaratti,IN,2021-11-09 12:04:15,10.5669,72.642,82.17,66,86,9.48
195,Belaya Gora,RU,2021-11-09 12:04:16,68.5333,146.4167,-17.99,100,34,2.15
196,Along,IN,2021-11-09 12:04:16,28.1667,94.7667,64.69,61,1,1.52
197,Airai,TL,2021-11-09 12:04:17,-8.9266,125.4092,64.98,93,100,1.39
198,Husavik,IS,2021-11-09 12:04:17,66.0449,-17.3389,30.04,81,42,4.81
199,Bronnoysund,NO,2021-11-09 12:04:17,65.4625,12.1997,44.67,93,75,21.85
200,Bathsheba,BB,2021-11-09 12:04:18,13.2167,-59.5167,81.77,70,57,14.32
201,Atar,MR,2021-11-09 12:00:33,20.5169,-13.0499,87.3,11,99,8.9
202,Tessalit,ML,2021-11-09 12:04:18,20.1986,1.0114,80.13,15,12,13.6
203,Pochutla,MX,2021-11-09 12:04:19,15.7432,-96.4661,71.42,59,7,4.43
204,Yerbogachen,RU,2021-11-09 12:04:19,61.2767,108.0108,25.56,91,100,13.2
205,High Level,CA,2021-11-09 12:04:19,58.5169,-117.136,15.87,85,45,8.5
206,Chumphon,TH,2021-11-09 12:04:20,10.3333,98.8333,73.13,94,100,4.25
207,Yilan,TW,2021-11-09 12:04:20,24.757,121.753,63.09,75,94,2.37
208,Bengkulu,ID,2021-11-09 12:04:20,-3.8004,102.2655,78.69,88,93,8.14
209,Taltal,CL,2021-11-09 12:01:08,-25.4,-70.4833,61.54,69,45,3.78
210,College,US,2021-11-09 12:04:21,64.8569,-147.8028,13.66,76,40,5.75
211,Werda,BW,2021-11-09 12:04:21,-25.2667,23.2833,83.75,10,0,5.06
212,Ipswich,GB,2021-11-09 12:01:09,52.0592,1.1555,60.1,76,100,11.97
213,Matay,EG,2021-11-09 12:04:22,28.419,30.7792,89.65,12,0,5.73
214,Prince Rupert,CA,2021-11-09 12:04:22,54.3161,-130.3201,36.88,83,100,7.16
215,Rio Branco Do Sul,BR,2021-11-09 12:04:23,-25.19,-49.3142,65.82,98,100,2.33
216,Chuy,UY,2021-11-09 12:03:50,-33.6971,-53.4616,66.22,63,40,4.85
217,Solnechnyy,RU,2021-11-09 12:04:23,50.7214,136.6319,23.04,94,100,7.29
218,Tomatlan,MX,2021-11-09 12:04:24,19.9333,-105.25,69.85,90,10,2.95
219,Bedesa,ET,2021-11-09 12:04:24,8.9,40.7833,71.47,48,73,3.56
220,Innisfail,AU,2021-11-09 12:01:04,-17.5333,146.0333,78.58,88,91,3.65
221,Hambantota,LK,2021-11-09 12:04:25,6.1241,81.1185,80.29,75,100,2.19
222,Mandalgarh,IN,2021-11-09 12:04:25,25.2,75.1,78.6,24,11,2.82
223,Ahipara,NZ,2021-11-09 12:04:25,-35.1667,173.1667,57.88,91,91,1.5
224,Kiruna,SE,2021-11-09 12:04:27,67.8557,20.2251,20.32,93,90,10.36
225,Muzhi,RU,2021-11-09 12:04:27,65.3667,64.6667,14.63,91,99,4.94
226,Simoes,BR,2021-11-09 12:04:28,-7.5989,-40.8178,81.09,60,74,8.25
227,Bara,NG,2021-11-09 12:04:28,10.3744,10.7288,96.42,25,13,4.38
228,Hamilton,US,2021-11-09 12:03:34,39.1834,-84.5333,51.24,78,20,9.22
229,Shimoda,JP,2021-11-09 12:04:28,34.6667,138.95,61.11,85,64,15.99
230,Makakilo City,US,2021-11-09 12:02:02,21.3469,-158.0858,73.69,75,81,7.7
231,Ust-Koksa,RU,2021-11-09 12:04:29,50.2696,85.6108,20.05,85,98,1.28
232,Dzhebariki-Khaya,RU,2021-11-09 12:04:29,62.2167,135.8,13.86,96,99,3.87
233,Port Hardy,CA,2021-11-09 12:01:05,50.6996,-127.4199,36.18,98,100,8.14
234,Saskylakh,RU,2021-11-09 12:05:30,71.9167,114.0833,-19.32,100,55,4.79
235,Gualeguay,AR,2021-11-09 12:05:30,-33.1416,-59.3097,75.67,40,1,3.36
236,Russell,US,2021-11-09 12:05:31,32.3502,-85.1999,43.83,87,1,0.0
237,Kloulklubed,PW,2021-11-09 12:05:31,7.0419,134.2556,81.1,75,95,14.88
238,Hami,CN,2021-11-09 12:05:32,42.8,93.45,29.57,52,2,2.53
239,Sawakin,SD,2021-11-09 12:05:32,19.1059,37.3321,87.57,56,4,11.5
240,Champerico,GT,2021-11-09 12:05:32,14.3,-91.9167,74.03,78,60,4.88
241,Westport,US,2021-11-09 12:05:33,41.1415,-73.3579,54.95,100,1,0.0
242,Kudahuvadhoo,MV,2021-11-09 12:05:33,2.6708,72.8944,82.67,75,76,18.72
243,Lockport,US,2021-11-09 12:00:44,41.5895,-88.0578,55.83,94,40,8.05
244,Flinders,AU,2021-11-09 12:05:33,-34.5833,150.8552,66.2,92,21,6.58
245,Taunggyi,MM,2021-11-09 12:05:34,20.7833,97.0333,63.25,91,33,0.96
246,Hervey Bay,AU,2021-11-09 12:03:18,-25.2986,152.8535,75.02,90,99,16.06
247,Ambulu,ID,2021-11-09 12:05:34,-8.345,113.6058,78.85,90,97,1.86
248,Veraval,IN,2021-11-09 12:05:34,20.9,70.3667,84.92,46,83,7.81
249,Borba,BR,2021-11-09 12:05:35,-4.3878,-59.5939,74.52,97,100,1.23
250,Wageningen,NL,2021-11-09 12:05:35,51.9667,5.6667,54.18,80,90,10.36
251,Avera,US,2021-11-09 12:05:36,33.194,-82.5271,48.07,53,0,3.15
252,Gorno-Altaysk,RU,2021-11-09 12:05:36,51.9561,85.955,26.74,91,97,4.07
253,Severo-Kurilsk,RU,2021-11-09 12:05:36,50.6789,156.125,34.61,74,82,4.85
254,Mecca,SA,2021-11-09 12:05:37,21.4267,39.8261,94.37,22,0,13.89
255,Sinnamary,GF,2021-11-09 12:05:37,5.3833,-52.95,81.81,75,81,10.51
256,Luganville,VU,2021-11-09 12:05:37,-15.5333,167.1667,79.21,85,16,7.23
257,Neiafu,TO,2021-11-09 12:05:38,-18.65,-173.9833,77.68,94,20,0.0
258,Castle Rock,US,2021-11-09 12:05:38,39.3722,-104.8561,43.83,82,3,1.99
259,Dukat,RU,2021-11-09 12:05:39,62.55,155.55,-10.48,89,5,3.62
260,Timbiras,BR,2021-11-09 12:05:39,-4.2553,-43.9406,73.92,98,100,3.11
261,Lucea,JM,2021-11-09 12:05:39,18.451,-78.1736,76.86,82,81,11.41
262,Pinehurst,US,2021-11-09 12:05:40,35.1954,-79.4695,43.48,83,1,0.0
263,Sabang,ID,2021-11-09 12:05:40,5.8933,95.3214,81.46,79,94,6.53
264,Banda Aceh,ID,2021-11-09 12:05:40,5.5577,95.3222,80.44,83,100,8.34
265,Tinskoy,RU,2021-11-09 12:05:41,56.1525,96.9161,30.29,85,93,7.58
266,Clyde River,CA,2021-11-09 12:05:41,70.4692,-68.5914,0.54,88,41,6.58
267,Shingu,JP,2021-11-09 12:05:42,33.7333,135.9833,54.23,82,22,8.12
268,Ribeira Grande,PT,2021-11-09 12:05:42,38.5167,-28.7,66.6,82,20,3.44
269,Bafilo,TG,2021-11-09 12:05:42,9.35,1.2667,94.06,34,8,1.81
270,Biak,ID,2021-11-09 12:05:43,-0.9131,122.8766,77.74,86,99,1.79
271,Aasiaat,GL,2021-11-09 12:05:43,68.7098,-52.8699,-3.66,99,75,9.69
272,Emerald,AU,2021-11-09 12:05:43,-23.5333,148.1667,74.34,86,46,8.72
273,Himeji,JP,2021-11-09 12:01:17,34.8167,134.7,58.37,63,93,12.26
274,Saldanha,ZA,2021-11-09 12:05:44,-33.0117,17.9442,64.98,56,17,13.13
275,Rancho Palos Verdes,US,2021-11-09 12:05:44,33.7445,-118.387,58.53,93,91,3.0
276,Puerto Madryn,AR,2021-11-09 12:05:44,-42.7692,-65.0385,57.92,56,0,16.2
277,Mosquera,CO,2021-11-09 12:05:44,4.7059,-74.2302,55.49,88,75,4.61
278,Rawson,AR,2021-11-09 12:05:45,-43.3002,-65.1023,58.55,49,3,16.51
279,Uglovskoye,RU,2021-11-09 12:05:45,51.3557,80.1942,28.53,68,52,8.81
280,Quatre Cocos,MU,2021-11-09 12:05:46,-20.2078,57.7625,80.1,72,67,10.69
281,Chumikan,RU,2021-11-09 12:06:46,54.7183,135.315,27.41,90,100,11.34
282,Ilo,PE,2021-11-09 12:06:46,-17.6394,-71.3375,65.28,77,98,6.17
283,Karimganj,IN,2021-11-09 12:06:47,24.8667,92.35,72.37,76,8,4.59
284,Forestville,US,2021-11-09 12:06:47,38.8451,-76.875,53.28,88,1,0.0
285,Evensk,RU,2021-11-09 12:06:47,61.95,159.2333,6.04,79,10,6.98
286,Mwense,ZM,2021-11-09 12:06:48,-10.3845,28.698,101.21,13,60,3.87
287,Akyab,MM,2021-11-09 12:06:48,20.15,92.9,81.88,73,12,8.46
288,Poum,NC,2021-11-09 12:06:48,-20.2333,164.0167,76.62,80,62,8.05
289,Bandarbeyla,SO,2021-11-09 12:06:49,9.4942,50.8122,81.9,66,29,16.73
290,Elizabeth City,US,2021-11-09 12:06:39,36.2946,-76.2511,51.82,87,1,3.44
291,Arman,RU,2021-11-09 12:06:49,59.7,150.1667,6.66,78,79,5.39
292,Polovinnoye,RU,2021-11-09 12:06:49,54.7914,65.9864,38.57,46,90,18.99
293,Portland,US,2021-11-09 12:05:43,45.5234,-122.6762,51.46,94,90,5.01
294,Omsukchan,RU,2021-11-09 12:06:50,62.5333,155.8,-12.3,93,5,3.09
